postId,url,time,text,likes,shares,comments,isVideo,viewsCount
899335305561499,https://www.facebook.com/maxfashions/posts/pfbid0BQG4nJA3M1rCxYpnfZ6ZUw6RnHnjEetWqu4ie7te7ENdi5t198fzAWaQn3N8mmQyl,2024-08-11T05:31:49.000Z,three amigo denim taking scenic route happiness toy car tiny adventure need perfect day discover denim musthaves max fashion weekend maxfashion kidswear printed tee denim casual wear kid fashion,13,0,1.0,False,
898692435625786,https://www.facebook.com/maxfashions/posts/pfbid02RfrUCte16gXqAe5oHZSZtdZPDJhDuHaBkMaFHjGTo4k9kwncXtzwMemRcwacUi4vl,2024-08-10T05:34:51.000Z,turn day anime episode epic fit lilac cargo pant paired graphic tee yes please grab max fashion weekend maxfashion kidswear boxy crop tee anime graphic parachute pant casual wear,15,0,1.0,False,
898045585690471,https://www.facebook.com/maxfashions/posts/794783436149384:794783436149384,2024-08-09T04:34:49.000Z,,19,2,4.0,False,
898043562357340,https://www.facebook.com/reel/1479273909372264/,2024-08-09T04:31:19.000Z,time let outta alaya f max urbn set bring banger youbut handle check afxmaxurbn maxurbn maxfashion shuffleitup,21448,11,17.0,True,183810.0
897631942398502,https://www.facebook.com/maxfashions/posts/pfbid0enB8m617qfiUGsZVYw6nHhAN7hj3jkxXWybdHMTFTaChf6XsWCnnCBC3HoWY1bqKl,2024-08-08T12:30:09.000Z,shirt need extra plan yes please grab max fashion let adventure begin maxfashion teenswear oversized utility shirt casual wear teen fashion,9,0,1.0,False,
897069779121385,https://www.facebook.com/maxfashions/posts/pfbid05cf7RVrcU9ATAdYAoJCsukpDKiTsWKobxnwLDTJjyv3pfXgoHL1xJePhXDaeBGFMl,2024-08-07T14:02:22.000Z,okay wait ask yep cold shoulder top side slit flared pant always wanted try grab max fashion maxfashion teensfashion fitted cold shoulder graphic tee side slit flared pant casual wear,10,0,,False,
896419282519768,https://www.facebook.com/maxfashions/posts/pfbid0RNP4RgnDzRvYGc2LWxc1X7kDqBsXVzActFkeJ8e5aW9uepvbqC4n5pUtDvjzyB9Fl,2024-08-06T12:31:50.000Z,made moodboard favorite fit oversized utility shirt relaxed jogger denim would maxfashion teensfashion oversized utility shirt denim jogger casual wear teen fashion,14,0,4.0,False,
895885335906496,https://www.facebook.com/maxfashions/posts/pfbid0bgrNm565cpPYv2ym8kwVba5qX8wrq8MkYQCK9pFmjswbjaoxZEBiY54HFbGCQmRwl,2024-08-05T14:30:08.000Z,dude maxurbanindia everywhere atleast drop hint bro,49,3,13.0,False,
895043045990725,https://www.facebook.com/maxfashions/posts/pfbid07iyNjFX6QH1dJZukTWk8QDcyqLzXtzbSZG7Q1npYZvr8Xas2tgmwsp9fUUxdGDyHl,2024-08-04T06:01:08.000Z,leg folded denim game unfolded who ready take playground style maxfashion kidswear denim casual wear kid fashion,14,0,,False,
894494406045589,https://www.facebook.com/maxfashions/posts/pfbid02GP1bSvmzXLZrZ6smweLSjpVnjUZxns2nMjcxgvmcVattbsrmBacFXK3scHTZWpDCl,2024-08-03T11:21:09.000Z,bro maxurbanindia whats maxfashion maxurbn whatscooking,7,0,,False,
894323216062708,https://www.facebook.com/reel/1535466503842499/,2024-08-03T05:38:32.000Z,denim onpoint youll flexin everyone fit vibe today grab max fashion weekend maxfashion womenswear denim fit casual wear woman fashion,14,1,3.0,True,1204.0
893865772775119,https://www.facebook.com/maxfashions/posts/pfbid02G5D6cf7dMs3L9HRkbJ5o4Bj2eYnjoM44NCgP32adrDUfr6mWhAzdoJhxVgNq2J6ml,2024-08-02T12:30:15.000Z,got back cuz oversized tee foil print paired denim jogger cargo pant mood explore favorite max fashion maxfashion kidswear oversized tee foil print denim jogger cargo pocket back print,20,0,1.0,False,
893241352837561,https://www.facebook.com/reel/810915014532134/,2024-08-01T12:32:21.000Z,cargo pant sometimes need pocket add anime tee youre set adventure explore favorite max fashion maxfashion kidswear anime cargo pant kid fashion,17,1,,True,978.0
892583886236641,https://www.facebook.com/maxfashions/posts/pfbid02wNeFwyak8QrKtTUu2Dd5QJo1ZnULKvnjEJX3dumWXg7KzEk72smtxYUJJHK5Yrstl,2024-07-31T12:14:00.000Z,see looking denim look today well here one love head max fashion explore favorite maxfashion kidswear kidsfashion denim graphic tee denim jogger,18,0,,False,
891981436296886,https://www.facebook.com/maxfashions/posts/pfbid0QbVgf9wkbM3FW9WAcY25ruXFvhxBBaEiSEjwBrkPAe1jn4B2cC3AExWKLL1MvCsyl,2024-07-30T12:29:56.000Z,denim feel oversized vibe whats pick head max fashion grab best style maxfashion teenswear oversized denim shirt oversized tee denim,13,0,,False,
891363109692052,https://www.facebook.com/reel/1226809198671755/,2024-07-29T12:31:13.000Z,closet called said need japanese art print like head max fashion make em maxfashion teensfashion japanese art print oversized tee,20,0,3.0,True,1007.0
