rank,searchPageUrl,title,categoryName,address,street,city,postalCode,website,phone,locatedIn,totalScore,reviewsCount
5,"https://www.google.com/maps/search/Max%20Fashion/@19.097759472602828,72.93051052286363,15z?hl=en",Max Collection,Men's clothing store,"Shop No 17, Park Site, Godrej Hillside Colony, Vikhroli West, Mumbai, Maharashtra 400079, India","Shop No 17, Park Site",Mumbai,400079,,+91 97024 72050,,,0
8,"https://www.google.com/maps/search/Max%20Fashion/@19.162650127397175,72.93051052286363,15z?hl=en",Max,Shopping mall,"BN Agarwal Commercial Complex, 1st & 2nd Flr, Parle Square Mall, Moongibai Road, Navpada, Vile Parle East, Mumbai, Maharashtra 400057, India","BN Agarwal Commercial Complex, 1st & 2nd Flr, Parle Square Mall, Moongibai Road",Mumbai,400057,https://stores.maxfashion.in/max-vile-parle-east-shopping-centre-vile-parle-east-mumbai-105527/Home?utm_source=locator&utm_medium=googleplaces,+91 22 2614 0138,Parle Square Mall,4.1,2087
5,"https://www.google.com/maps/search/Max%20Fashion/@19.162650127397175,72.93051052286363,15z?hl=en",Max,Shopping mall,"Lower Ground Floor, City Mall Phoneix Market, LBS Rd, Sunder Baug Ln, Kurla West, Mumbai, Maharashtra 400070, India","Lower Ground Floor, City Mall Phoneix Market, LBS Rd, Sunder Baug Ln",Mumbai,400070,https://stores.maxfashion.in/max-kamani-shopping-centre-kamani-mumbai-105521/Home?utm_source=locator&utm_medium=googleplaces,+91 22 6180 1267,Phoenix Marketcity,4.2,2030
5,"https://www.google.com/maps/search/Max%20Fashion/@19.195095454794348,72.89619734095454,15z?hl=en",Max,Shopping mall,"1st Floor, Infiniti Mall, Phase D, Oshiwara, Andheri West, Mumbai, Maharashtra 400053, India","1st Floor, Infiniti Mall",Mumbai,400053,https://stores.maxfashion.in/max-andheri-west-shopping-centre-andheri-west-mumbai-289933/Home?utm_source=locator&utm_medium=googleplaces,+91 77382 82421,,5.0,1
4,"https://www.google.com/maps/search/Max%20Fashion/@19.195095454794348,72.89619734095454,15z?hl=en",Max,Shopping mall,"Unit No SF201A, 1st Floor, Infiniti Mall, New Link Rd, Highland Park, West, Mumbai, Maharashtra 400064, India","Unit No SF201A, 1st Floor, Infiniti Mall, New Link Rd",Mumbai,400064,https://stores.maxfashion.in/max-malad-west-shopping-centre-malad-west-mumbai-105535/Home?utm_source=locator&utm_medium=googleplaces,+91 22 4972 4170,Infiniti Mall,4.1,2760
3,"https://www.google.com/maps/search/Max%20Fashion/@19.162650127397175,72.93051052286363,15z?hl=en",Max,Shopping mall,"Phase 2, Max Retail Devision, No F 39, 1st Floor, R City Mall, Lal Bahadur Shastri Marg, Mumbai, Maharashtra 400086, India","Phase 2, Max Retail Devision, No F 39, 1st Floor, R City Mall, Lal Bahadur Shastri Marg",Mumbai,400086,https://stores.maxfashion.in/max-lbs-road-shopping-centre-lbs-road-mumbai-105526/Home?utm_source=locator&utm_medium=googleplaces,+91 22 2517 1278,R CITY,4.1,3232
1,"https://www.google.com/maps/search/Max%20Fashion/@19.162650127397175,72.93051052286363,15z?hl=en",Max,Shopping mall,"Mulund Thane Checknaka, 1st Floor, R Mall, Mulund West, Mumbai, Maharashtra 400080, India","Mulund Thane Checknaka, 1st Floor, R Mall",Mumbai,400080,https://stores.maxfashion.in/max-qrs-retail-pvt-ltd-shopping-centre-mulund-mumbai-105534/Home?utm_source=locator&utm_medium=googleplaces,+91 22 4158 2200,"R Mall, Mulund",4.1,1249
1,"https://www.google.com/maps/search/Max%20Fashion/@19.195095454794348,72.89619734095454,15z?hl=en",Max,Shopping mall,"1st & 2nd Flr, Growels 101 Mall Western Express Hwy, Akurli Rd, near Police Station, Samata Nagar, Mumbai, Maharashtra 400101, India","1st & 2nd Flr, Growels 101 Mall Western Express Hwy, Akurli Rd, near Police Station",Mumbai,400101,https://stores.maxfashion.in/max-samata-ngr-shopping-centre-samata-ngr-mumbai-105530/Home?utm_source=locator&utm_medium=googleplaces,+91 22 6708 6006,Growel's 101 Mall,4.0,94
