,link,text,user,likes,quotes,retweets,comments
38,https://twitter.com/maxfashionindia/status/1788551057913553049#m,must have 1 lipbalm 2 3 swag maxurbn urbn maxfashion shuffleitup,Max Fashion India,3,0,1,4
39,https://twitter.com/maxfashionindia/status/1787466369468150183#m,waiting character world like coming pick max fashion maxkidsfestival maxfashion garfield kidsfashion,Max Fashion India,6,0,1,5
40,https://twitter.com/maxfashionindia/status/1787097412428824943#m,dressing like wednesday addams normal overrated maxkidsfestival maxfashion wednesday teensfashion maxcharacterworld,Max Fashion India,5,0,2,4
41,https://twitter.com/maxfashionindia/status/1786629350160244997#m,may fashion choice iconic baby yoda meme maxfashion maythestylebewithyou starwarsday,Max Fashion India,8,0,2,5
42,https://twitter.com/maxfashionindia/status/1785535769441964054#m,character world luffys got swagger eleven got zing snoopy got charm wednesday got edge stranger thing got u guessing check yet maxkidsfestival maxfashion teensfashion maxcharacterworld,Max Fashion India,5,0,2,3
43,https://twitter.com/maxfashionindia/status/1784809842227724331#m,sas queen bee cool vibe mc swag there style every mood discover world whimsy wonder max kid festival maxkidsfestival maxfashion teensfashion maxcharacterworld,Max Fashion India,2,0,0,8
44,https://twitter.com/maxfashionindia/status/1784090286303645778#m,stop scrolling love garfield youll love character world max fashion time flaunt favorite character merch maxkidsfestival maxfashion kidswear garfield maxcharacterworld,Max Fashion India,5,1,1,0
45,https://twitter.com/maxfashionindia/status/1783715930918342940#m,step store step whole new world say character world maxkidsfestival maxfashion kidswear teensfashion maxcharacterworld,Max Fashion India,4,0,1,3
46,https://twitter.com/maxfashionindia/status/1781320103025418387#m,catch feeling flight alike cloud 9 loveliest label lovelabels maxurbn,Max Fashion India,2,1,0,2
47,https://twitter.com/maxfashionindia/status/1780794972121309419#m,muchneeded change stay even leave trial room max urbn revamped size label theyre nothing short stunning magical lit welcome change sure watch video tell u label lovelabels maxurbn,Max Fashion India,62,159,66,4
48,https://twitter.com/maxfashionindia/status/1775955559163826187#m,everything wanted came true dont wanna brag look who added u close friend list billieeilish,Max Fashion India,1,0,0,4
49,https://twitter.com/maxfashionindia/status/1775875698529370137#m,channeling daisy energy maxfashion kidswear,Max Fashion India,0,0,0,0
50,https://twitter.com/maxfashionindia/status/1771182173955006828#m,game face entire season ipl2024 maxfashion urbn cskvrcb,Max Fashion India,5,0,2,312
51,https://twitter.com/maxfashionindia/status/1766388292415889786#m,thats foakes 5 reason go haul weekend indvseng ashwin,Max Fashion India,7,0,1,30
52,https://twitter.com/maxfashionindia/status/1765050880208867423#m,cant refresh feed always refresh wardrobe maxfashion instagramdown,Max Fashion India,9,0,3,1
53,https://twitter.com/maxfashionindia/status/1763147913025454230#m,4 year next leap year making reevaluating wishlist maxfashion leapyear2024 happyleapday,Max Fashion India,7,0,1,0
54,https://twitter.com/maxfashionindia/status/1760657163197051090#m,urbn package upgraded canvas pure awesome sauce thanks srishtea betcha coolest thing youll see feed today ready shuffleitup maxurbn urbn maxfashion shuffleitup,Max Fashion India,4,0,3,6
55,https://twitter.com/maxfashionindia/status/1758722684819845542#m,max fashion 500th store outfit exciting last series binge warning may cause spontaneous dance move maxfashion500 maxfashion,Max Fashion India,7,0,1,5
56,https://twitter.com/maxfashionindia/status/1758722553236140390#m,warning post may cause sudden outbreak excitement 500 shade fabulous hitting max fashion newest store passport chic side life ready slay maxfashion maxfashion500,Max Fashion India,5,0,0,0
